Каменск-Шахтинский,160,159.354867507442,89657,2017,560.35625,1.48,13.3,2
Лобня,30.19,29.6636399745054,89339,2019,3028.4,2.02,7.7,0.8
Канск,96.3,100.605584851196,89111,2019,925.35,1.48,18.2,3
Киселёвск,160,187.288662903612,88192,2019,551.2,1.4,15,1.7
Губкин,42,62.6424185163951,86422,2019,2057.67,1.76,7.4,0.8
Выборг,160.847,160.89788064342,76389,2019,474.92,1.55,9.4,0.9
Берёзовский,74,68.2826058257245,45801,2019,618.93,1.4,15,1.7
Бузулук,54.42,58.0506815135469,86050,2019,1581.2201396545388,1.43,13.8,1.9
Белово,219.34,78.0828707822442,72519,2018,327.4,1.4,15,1.7
Новотроицк,352.34,56.2821904844127,84897,2019,240.95,1.43,13.8,1.9
Кинешма,49,54.8028775239498,83871,2017,1711.65,1.37,14.6,1.7
Бугульма,27.87,37.1713428183573,83536,2019,2997.34,1.93,7.2,0.8
Ейск,144,25.3709412059734,83053,2019,576.76,1.64,10.9,1.5
Чайковский,56.49,57.6041691845637,82656,2019,1463.2,1.5,14.9,2.4
Фрязино,9,9.13890134952821,59987,2019,6665.222222222223,2.02,7.7,0.8
Шуя,33.29,37.2252565763095,58723,2017,1763.98,1.37,14.6,1.7
Кузнецк,42.08,38.4237287919746,82276,2018,1955.23,1.33,13.5,1.4
Анапа,58.983,29.229807380578,81447,2019,1380.86,1.64,10.9,1.5
Азов,67.5,66.1707380054855,81335,2017,1204.96,1.48,13.3,2
Усть-Илимск,206.285,215.478637266745,81081,2019,393.05,1.36,18.1,2.3
Кирово-Чепецк,53.36,53.9920658722737,72071,2018,1350.66,1.3,15.5,1.6
Егорьевск,29,28.8421673869653,72070,2019,2485.17,2.02,7.7,0.8
Горно-Алтайск,95.5,95.8492196539456,64478,2020,675.16,0.98,24.2,4.3
Юрга,44.8,64.0132732484144,81073,2019,1809.67,1.4,15,1.7
Новоуральск,31.9,80.523151291354,80723,2019,2530.5,1.85,9.7,1.3
Клин,42,38.3558303359586,79387,2019,2145.59,2.02,7.7,0.8
Ивантеевка,14.59,14.6218811173755,79346,2019,5438.38,2.02,7.7,0.8
Ялта,18.202,13.0159633083197,79272,2019,4365.29,1.17,17.2,2.3
Озёрск,12,1.39895513118803,3837,2019,319.75,1.42,13.8,1.5
Лабинск,46.41,48.6262590686882,59842,2019,1289.42,1.64,10.9,1.5
Озёрск,657.3,39.4688151579608,79265,2017,120.59,1.48,13.3,1.4
Бор,147,49.2377165223963,78385,2017,533.2312925170068,1.61,9.5,1.2
Троицк,139.15,118.928317820057,73152,2019,525.71,1.48,13.3,1.4
Биробиджан,169.38,169.367102806991,73129,2019,431.75,1.12,24.6,3.6
Кропоткин,83.54,36.8877392865356,78149,2019,935.47,1.64,10.9,1.5
Геленджик,19.25,63.5611929004045,77212,2019,4011.01,1.64,10.9,1.5
Усолье-Сибирское,74,79.0086718208478,76846,2019,1038.46,1.36,18.1,2.3
Балашов,,34.8410082594261,76776,2018,1073,1.35,16.2,2.1
Шадринск,171.5324,65.2235299190327,75623,2017,435.47,1.14,19.4,2.8
Черногорск,,38.7534702256665,75067,2018,,1.18,18.3,2.4
Дубна,63.36,61.6965256740805,75001,2019,1221,2.02,7.7,0.8
Всеволожск,62.26,28.6935283632084,74263,2019,1192.7883070992611,1.55,9.4,0.9
Чапаевск,187.49,194.932028477398,72944,2017,389.06,1.56,13.1,1.7
Чехов,23.4,25.8850081193954,71932,2019,3074.017094017094,2.02,7.7,0.8
Видное,18,17.9476417879611,71482,2019,3971.222222222222,2.02,7.7,0.8
Верхняя Пышма,60,17.511982325564,71241,2019,1169.3,1.85,9.7,1.3
Лысьва,26.43,34.0683685412113,60947,2019,2308.6,1.5,14.9,2.4
Сальск,43.883,46.7737138260634,58179,2017,1325.7753571998267,1.48,13.3,2
Анжеро-Судженск,119.2,116.232419159981,69253,2019,580.98,1.4,15,1.7
Дмитров,26,26.6395702536318,68666,2018,2641,2.02,7.7,0.8
Туймазы,43,41.7182877494668,68587,2019,1595.05,1.54,12.1,1.9
Сосновый Бор,,86.9094029827394,68344,2019,949.22,1.55,9.4,0.9
Феодосия,39.9624,37.7895876680863,68029,2019,1701.427,1.17,17.2,2.3
Минусинск,17.7,57.0307192830492,68007,2018,3842.2,1.48,18.2,3
Кстово,59,17.2909430636284,67723,2017,1147.8474576271187,1.61,9.5,1.2
Ишим,46.1,58.4574595926826,64653,2019,1402.45,1.52,14.7,2.2
Североморск,60,,52597,2019,876.6166666666667,1.83,12.3,1.2
Георгиевск,25,23.7099042915062,67054,2019,2682.16,1.22,13.6,1.9
Славянск-на-Кубани,,30.9062350779106,66829,2019,1536.3,1.64,10.9,1.5
Когалым,153.5,60.4761379798071,66720,2019,434.66,2.14,10.7,1.4
Гуково,40,36.1823190131853,66332,2017,1658.3,1.48,13.3,2
Сунжа,235.55,9.1154817589623,66047,2019,280.39,1.05,31.9,5.6
Ступино,35.5,95.4394573779315,65990,2019,1858.8732394366198,2.02,7.7,0.8
Буйнакск,,22.586825799819,65544,2019,3128.59,1.48,15.2,2.3
Кунгур,68.7,69.4620025252977,65284,2019,950.28,1.5,14.9,2.4
Белорецк,41,51.0757168797453,65054,2019,1586.6829268292684,1.54,12.1,1.9
Ишимбай,103.47,112.02476241398,64307,2019,641,1.54,12.1,1.9
Павловский Посад,39,30.3980719455609,63940,2019,1639.4871794871794,2.02,7.7,0.8
Донской,47.6,59.4284598575949,63631,2018,1336.79,1.54,9.7,0.9
Асбест,107,84.7457059121472,63325,2019,591.8224299065421,1.85,9.7,1.3
Вольск,148,30.604309629356,63212,2018,427.1081081081081,1.35,16.2,2.1
Клинцы,64,31.4284946414874,63050,2019,985.15625,1.44,13.2,1.8
Наро-Фоминск,22,27.8763095979569,62970,2019,2862.27,2.02,7.7,0.8
Россошь,59.06,59.7478354267784,62827,2018,1063.78,1.61,8.9,1.1
Ревда,111,41.4587952537824,62326,2019,64.25,1.85,9.7,1.3
Чистополь,19.24,29.5263380398216,59816,2019,3108.94,1.93,7.2,0.8
Лыткарино,17.29,17.2860150654915,58606,2019,3447.41,2.02,7.7,0.8
Нягань,814,44.7019593378567,58335,2019,71.66461916461917,2.14,10.7,1.4
Будённовск,62.1,76.4851382075835,62073,2019,999.57,1.22,13.6,1.9
